SystemID,Send Date,Content Name,Testing,Source,Card ID,Tier,Status,EDM_Sent,EDM_Bounce,EDM_Open,EDM_Click,APP_Open
JH-0001831204,2021-11-20T00:05:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3945554,DYNA,Sent,1,0,0,0,0
JH-0001831205,2021-11-20T00:05:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB0107234,DYNA,Sent,1,0,0,0,0
JH-0001831206,2021-11-20T00:05:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF3911376,DYNA,Sent,1,0,0,0,0
JH-0001831207,2021-11-20T00:05:20.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD2142303,DYNA,Sent,1,0,0,0,0
JH-0001598355,2021-10-14T23:20:10.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB0869130,DYNA,,0,0,0,0,0
JH-0001598353,2021-10-14T15:20:29.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB4163433,DYNA,Success,0,0,0,0,0
JH-0001598348,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF2629451,DYNA,,0,0,0,0,0
JH-0001598349,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF3897167,DYNA,,0,0,0,0,0
JH-0001829342,2021-10-30T04:30:26.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,CT5849313,GOLD,Success,0,0,0,0,0
JH-0001598343,2021-10-13T05:55:32.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB3007563,DYNA,Delivered,0,0,0,0,0
JH-0001598354,2021-10-14T15:20:33.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WD9677867,DYNA,Success,0,0,0,0,0
JH-0001830808,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,CM0000000,EMER,Click,1,0,1,1,0
JH-0001830809,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,AJ0000000,GOLD,Click,1,0,1,1,0
JH-0001830810,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,AN0000000,DYNA,Click,1,0,1,1,0
JH-0001830811,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,SG0000000,PARA,Click,1,0,1,1,0
JH-0001830812,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,FZ0000000,EMER,Click,1,0,1,1,0
JH-0001830813,2021-11-17T02:06:49.000Z,[NFP]未完成購票 EDM-B - GA test only - rvsd5,B,EDM,AY0000000,GOLD,Click,1,0,1,1,0
